date,hour,day_of_week,is_weekend,month,location,temperature,feels_like,humidity,wind_speed,weather,weather_factor,surge_count
2024-01-01,9,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,2
2024-01-01,9,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,2
2024-01-01,9,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,1
2024-01-01,9,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,1
2024-01-01,10,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,19
2024-01-01,10,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,20
2024-01-01,10,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,13
2024-01-01,10,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,15
2024-01-01,11,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,69
2024-01-01,11,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,86
2024-01-01,11,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,44
2024-01-01,11,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,55
2024-01-01,12,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,150
2024-01-01,12,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,184
2024-01-01,12,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,91
2024-01-01,12,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,120
2024-01-01,13,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,136
2024-01-01,13,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,177
2024-01-01,13,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,93
2024-01-01,13,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,116
2024-01-01,14,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,79
2024-01-01,14,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,86
2024-01-01,14,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,48
2024-01-01,14,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,60
2024-01-01,15,0,0,1,Cafeteria A,6.1,4.5,74.0,6.4,Rainy,0.75,16
2024-01-01,15,0,0,1,Food Court B,6.1,4.5,74.0,6.4,Rainy,0.75,23
2024-01-01,15,0,0,1,Restaurant C,6.1,4.5,74.0,6.4,Rainy,0.75,11
2024-01-01,15,0,0,1,Canteen D,6.1,4.5,74.0,6.4,Rainy,0.75,13
2024-01-02,9,1,0,1,Cafeteria A,2.8,2.0,85.3,9.0,Sunny,1.3,3
2024-01-02,9,1,0,1,Food Court B,2.8,2.0,85.3,9.0,Sunny,1.3,4
2024-01-02,9,1,0,1,Restaurant C,2.8,2.0,85.3,9.0,Sunny,1.3,2
2024-01-02,9,1,0,1,Canteen D,2.8,2.0,85.3,9.0,Sunny,1.3,3
2024-01-02,10,1,0,1,Cafeteria A,2.8,2.0,85.3,9.0,Sunny,1.3,28
2024-01-02,10,1,0,1,Food Court B,2.8,2.0,85.3,9.0,Sunny,1.3,39
2024-01-02,10,1,0,1,Restaurant C,2.8,2.0,85.3,9.0,Sunny,1.3,18
2024-01-02,10,1,0,1,Canteen D,2.8,2.0,85.3,9.0,Sunny,1.3,23
2024-01-02,11,1,0,1,Cafeteria A,2.8,2.0,85.3,9.0,Sunny,1.3,122
2024-01-02,11,1,0,1,Food Court B,2.8,2.0,85.3,9.0,Sunny,1.3,139
2024-01-02,11,1,0,1,Restaurant C,2.8,2.0,85.3,9.0,Sunny,1.3,86
2024-01-02,11,1,0,1,Canteen D,2.8,2.0,85.3,9.0,Sunny,1.3,101
2024-01-02,12,1,0,1,Cafeteria A,2.8,2.0,85.3,9.0,Sunny,1.3,267
2024-01-02,12,1,0,1,Food Court B,2.8,2.0,85.3,9.0,Sunny,1.3,331
2024-01-02,12,1,0,1,Restaurant C,2.8,2.0,85.3,9.0,Sunny,1.3,159
2024-01-02,12,1,0,1,Canteen D,2.8,2.0,85.3,9.0,Sunny,1.3,209
2024-01-02,13,1,0,1,Cafeteria A,2.8,2.0,85.3,9.0,Sunny,1.3,218
2024-01-02,13,1,0,1,Food Court B,2.8,2.0,85.3,9.0,Sunny,1.3,280
2024-01-02,13,1,0,1,Restaurant C,2.8,2.0,85.3,9.0,Sunny,1.3,138
2024-01-02,13,1,0,1,Canteen D,2.8,2.0,85.3,9.0,Sunny,1.3,182
