date,usage,category
2023-01-01,104.97,Low
2023-01-02,122.35,Low
2023-01-03,136.27,Medium
2023-01-04,129.07,Low
2023-01-05,85.74,Low
2023-01-06,69.78,Low
2023-01-07,93.99,Low
2023-01-08,109.6,Low
2023-01-09,120.96,Low
2023-01-10,137.15,Medium
2023-01-11,111.13,Low
2023-01-12,85.35,Low
2023-01-13,76.47,Low
2023-01-14,60.98,Low
2023-01-15,86.6,Low
2023-01-16,121.95,Low
2023-01-17,123.52,Low
2023-01-18,120.83,Low
2023-01-19,82.85,Low
2023-01-20,61.85,Low
2023-01-21,96.7,Low
2023-01-22,103.51,Low
2023-01-23,130.17,Medium
2023-01-24,121.32,Low
2023-01-25,114.17,Low
2023-01-26,94.96,Low
2023-01-27,66.39,Low
2023-01-28,87.72,Low
2023-01-29,101.69,Low
2023-01-30,128.51,Low
2023-01-31,131.47,Medium
2023-02-01,140.06,Medium
2023-02-02,95.64,Low
2023-02-03,69.24,Low
2023-02-04,94.11,Low
2023-02-05,97.41,Low
2023-02-06,135.43,Medium
2023-02-07,119.82,Low
2023-02-08,110.17,Low
2023-02-09,99.67,Low
2023-02-10,89.13,Low
2023-02-11,89.52,Low
2023-02-12,110.38,Low
2023-02-13,132.26,Medium
2023-02-14,126.55,Low
2023-02-15,118.18,Low
2023-02-16,95.01,Low
2023-02-17,94.24,Low
2023-02-18,93.17,Low
2023-02-19,95.83,Low
2023-02-20,140.43,Medium
2023-02-21,139.41,Medium
2023-02-22,120.53,Low
2023-02-23,107.66,Low
2023-02-24,95.9,Low
2023-02-25,100.97,Low
2023-02-26,106.99,Low
2023-02-27,136.02,Medium
2023-02-28,148.49,Medium
2023-03-01,138.98,Medium
2023-03-02,98.68,Low
2023-03-03,85.65,Low
2023-03-04,82.51,Low
2023-03-05,105.35,Low
2023-03-06,149.16,Medium
2023-03-07,160.67,Medium
2023-03-08,130.43,Medium
2023-03-09,115.43,Low
2023-03-10,93.05,Low
2023-03-11,89.05,Low
2023-03-12,122.84,Low
2023-03-13,158.34,Medium
2023-03-14,148.67,Medium
2023-03-15,148.72,Medium
2023-03-16,81.12,Low
2023-03-17,99.58,Low
2023-03-18,98.29,Low
2023-03-19,118.16,Low
2023-03-20,145.8,Medium
2023-03-21,131.08,Medium
2023-03-22,132.8,Medium
2023-03-23,112.81,Low
2023-03-24,108.06,Low
2023-03-25,94.16,Low
2023-03-26,114.99,Low
2023-03-27,141.79,Medium
2023-03-28,162.03,Medium
2023-03-29,140.21,Medium
2023-03-30,105.86,Low
2023-03-31,100.34,Low
2023-04-01,102.24,Low
2023-04-02,134.69,Medium
2023-04-03,141.71,Medium
2023-04-04,151.52,Medium
2023-04-05,134.92,Medium
2023-04-06,98.45,Low
2023-04-07,100.09,Low
2023-04-08,105.8,Low
2023-04-09,126.97,Low
2023-04-10,148.31,Medium
2023-04-11,142.57,Medium
2023-04-12,136.56,Medium
2023-04-13,111.58,Low
2023-04-14,91.03,Low
2023-04-15,103.5,Low
2023-04-16,132.89,Medium
2023-04-17,171.44,High
2023-04-18,160.39,Medium
2023-04-19,145.26,Medium
2023-04-20,116.18,Low
2023-04-21,81.78,Low
2023-04-22,106.77,Low
2023-04-23,131.37,Medium
2023-04-24,179.13,High
2023-04-25,158.64,Medium
2023-04-26,147.63,Medium
2023-04-27,118.5,Low
2023-04-28,91.21,Low
2023-04-29,120.39,Low
2023-04-30,140.21,Medium
2023-05-01,164.33,Medium
2023-05-02,153.4,Medium
2023-05-03,160.56,Medium
2023-05-04,106.76,Low
2023-05-05,110.69,Low
2023-05-06,132.79,Medium
2023-05-07,124.71,Low
2023-05-08,152.68,Medium
2023-05-09,165.41,Medium
2023-05-10,143.42,Medium
2023-05-11,107.19,Low
2023-05-12,107.43,Low
2023-05-13,102.19,Low
2023-05-14,141.27,Medium
2023-05-15,151.07,Medium
2023-05-16,181.84,High
2023-05-17,142.55,Medium
2023-05-18,121.4,Low
2023-05-19,116.8,Low
2023-05-20,102.42,Low
2023-05-21,140.74,Medium
2023-05-22,175.26,High
2023-05-23,152.18,Medium
2023-05-24,154.15,Medium
2023-05-25,129.14,Low
2023-05-26,118.41,Low
2023-05-27,104.29,Low
2023-05-28,127.18,Low
2023-05-29,169.33,Medium
2023-05-30,173.15,High
2023-05-31,156.73,Medium
2023-06-01,131.93,Medium
2023-06-02,105.71,Low
2023-06-03,120.9,Low
2023-06-04,145.24,Medium
2023-06-05,158.89,Medium
2023-06-06,190.76,High
2023-06-07,160.89,Medium
2023-06-08,118.48,Low
2023-06-09,121.0,Low
2023-06-10,110.75,Low
2023-06-11,152.1,Medium
2023-06-12,179.55,High
2023-06-13,165.82,Medium
2023-06-14,167.71,Medium
2023-06-15,136.44,Medium
2023-06-16,124.58,Low
2023-06-17,141.39,Medium
2023-06-18,143.7,Medium
2023-06-19,162.35,Medium
2023-06-20,167.06,Medium
2023-06-21,151.84,Medium
2023-06-22,133.47,Medium
2023-06-23,121.69,Low
2023-06-24,127.11,Low
2023-06-25,156.35,Medium
2023-06-26,171.94,High
